"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 21 21:07:40 MSK 2026","Sun Jun 21 21:07:42 MSK 2026","2107","","tests.LoginTest","","tests.LoginTest","loginFromForgotPassword","loginFromForgotPassword",""
"passed","Sun Jun 21 21:07:36 MSK 2026","Sun Jun 21 21:07:38 MSK 2026","1932","","tests.LoginTest","","tests.LoginTest","loginFromPersonalAccount","loginFromPersonalAccount",""
"passed","Sun Jun 21 21:07:38 MSK 2026","Sun Jun 21 21:07:40 MSK 2026","1897","","tests.LoginTest","","tests.LoginTest","loginFromRegisterForm","loginFromRegisterForm",""
"passed","Sun Jun 21 21:07:29 MSK 2026","Sun Jun 21 21:07:32 MSK 2026","2375","","tests.ConstructorTest","","tests.ConstructorTest","openFillingsTab","openFillingsTab",""
"passed","Sun Jun 21 21:07:44 MSK 2026","Sun Jun 21 21:07:45 MSK 2026","1880","","tests.RegistrationTest","","tests.RegistrationTest","registrationWithShortPassword","registrationWithShortPassword",""
"passed","Sun Jun 21 21:07:32 MSK 2026","Sun Jun 21 21:07:33 MSK 2026","1894","","tests.ConstructorTest","","tests.ConstructorTest","openBunsTab","openBunsTab",""
"passed","Sun Jun 21 21:07:25 MSK 2026","Sun Jun 21 21:07:29 MSK 2026","4030","","tests.ConstructorTest","","tests.ConstructorTest","openSaucesTab","openSaucesTab",""
"passed","Sun Jun 21 21:07:42 MSK 2026","Sun Jun 21 21:07:44 MSK 2026","1864","","tests.RegistrationTest","","tests.RegistrationTest","successfulRegistration","successfulRegistration",""
"passed","Sun Jun 21 21:07:34 MSK 2026","Sun Jun 21 21:07:36 MSK 2026","2170","","tests.LoginTest","","tests.LoginTest","loginFromMainPage","loginFromMainPage",""
